                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1781,                 2.2066,                 1.5509,                0.89888,                0.00412,                0.00378,                0.00088,                    nan,                    nan,                    nan,             0.00030239,             0.00030239,             0.00030239
                      2,                 1.3678,                 2.0996,                 1.7107,                0.74193,                0.00412,                0.00344,                0.00206,                    nan,                    nan,                    nan,              0.0005979,              0.0005979,              0.0005979
                      3,                 1.4325,                 2.0636,                 1.7409,                0.30654,                0.00275,                0.00363,                0.00234,                    nan,                    nan,                    nan,             0.00088591,             0.00088591,             0.00088591
                      4,                 1.3866,                 1.9526,                 1.6965,                0.61253,                0.00412,                0.00362,                0.00263,                    nan,                    nan,                    nan,             0.00087525,             0.00087525,             0.00087525
                      5,                 1.3119,                 1.7893,                 1.6359,                0.98292,                0.00275,                 0.0044,                0.00265,                    nan,                    nan,                    nan,               0.000864,               0.000864,               0.000864
                      6,                 1.2354,                 1.6317,                 1.5917,                0.99598,                0.00412,                0.01106,                0.00957,                    nan,                    nan,                    nan,             0.00085276,             0.00085276,             0.00085276
                      7,                 1.1938,                 1.5578,                 1.5396,                0.78145,                0.00412,                 0.0081,                0.00524,                    nan,                    nan,                    nan,             0.00084151,             0.00084151,             0.00084151
                      8,                  1.152,                 1.4749,                 1.5188,                0.96219,                0.00412,                 0.0132,                0.01226,                    nan,                    nan,                    nan,             0.00083026,             0.00083026,             0.00083026
                      9,                 1.1357,                 1.3801,                 1.4984,                0.99673,                0.00412,                0.01406,                 0.0111,                    nan,                    nan,                    nan,             0.00081901,             0.00081901,             0.00081901
                     10,                 1.0884,                 1.3327,                 1.4677,                0.85498,                0.00412,                0.00573,                0.00547,                    nan,                    nan,                    nan,             0.00080776,             0.00080776,             0.00080776
                     11,                 1.0588,                 1.2648,                 1.4351,                0.99758,                0.00412,                0.00909,                 0.0071,                    nan,                    nan,                    nan,             0.00079651,             0.00079651,             0.00079651
                     12,                 1.0224,                 1.1896,                   1.42,                0.99715,                0.00412,                 0.0108,                0.00807,                    nan,                    nan,                    nan,             0.00078526,             0.00078526,             0.00078526
                     13,                 1.0122,                 1.1442,                 1.4042,                0.71225,                0.00412,                0.01013,                0.00941,                    nan,                    nan,                    nan,             0.00077401,             0.00077401,             0.00077401
                     14,                0.97398,                 1.0903,                 1.3786,                0.85458,                0.00412,                0.02105,                0.02027,                    nan,                    nan,                    nan,             0.00076276,             0.00076276,             0.00076276
                     15,                 0.9672,                 1.1079,                 1.3781,                0.85476,                0.00412,                0.01971,                0.01836,                    nan,                    nan,                    nan,             0.00075152,             0.00075152,             0.00075152
                     16,                0.94295,                 1.0345,                 1.3594,                0.28313,                0.00412,                0.02264,                0.02105,                    nan,                    nan,                    nan,             0.00074027,             0.00074027,             0.00074027
                     17,                0.94179,                 1.0187,                 1.3619,                 0.7121,                0.00412,                 0.0094,                0.00869,                    nan,                    nan,                    nan,             0.00072902,             0.00072902,             0.00072902
