                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2819,                 2.4177,                 1.6568,                0.98789,                0.00412,                0.00442,                0.00175,                    nan,                    nan,                    nan,             0.00030269,             0.00030269,             0.00030269
                      2,                 1.4627,                 2.3761,                 1.8111,                0.58239,                0.00412,                0.00189,                0.00105,                    nan,                    nan,                    nan,              0.0005997,              0.0005997,              0.0005997
                      3,                 1.5133,                 2.3965,                 1.8455,                0.83425,                0.00275,                 0.0036,                0.00202,                    nan,                    nan,                    nan,              0.0008907,              0.0008907,              0.0008907
                      4,                 1.4576,                 2.2207,                 1.8163,                0.96378,                0.00412,                0.00993,                0.00782,                    nan,                    nan,                    nan,               0.000882,               0.000882,               0.000882
                      5,                 1.3954,                 2.0286,                 1.7509,                0.95551,                0.00412,                0.00609,                0.00487,                    nan,                    nan,                    nan,               0.000873,               0.000873,               0.000873
                      6,                 1.3455,                 1.9241,                 1.7182,                0.85151,                0.00412,                0.00576,                0.00486,                    nan,                    nan,                    nan,               0.000864,               0.000864,               0.000864
                      7,                 1.2729,                 1.8051,                 1.6603,                0.99524,                0.00412,                0.00604,                0.00526,                    nan,                    nan,                    nan,             0.00085501,             0.00085501,             0.00085501
                      8,                  1.223,                 1.7404,                  1.618,                0.99423,                0.00412,                0.01406,                0.01061,                    nan,                    nan,                    nan,             0.00084601,             0.00084601,             0.00084601
                      9,                 1.2052,                   1.69,                 1.6017,                0.71087,                0.00412,                0.00725,                 0.0057,                    nan,                    nan,                    nan,             0.00083701,             0.00083701,             0.00083701
                     10,                 1.1713,                 1.5784,                 1.5751,                 0.9933,                0.00412,                0.00666,                0.00522,                    nan,                    nan,                    nan,             0.00082801,             0.00082801,             0.00082801
                     11,                 1.1291,                 1.5042,                 1.5485,                0.85485,                0.00412,                0.01971,                0.01764,                    nan,                    nan,                    nan,             0.00081901,             0.00081901,             0.00081901
